id,name,logo_filename,calendly_url,linkedin_url
akeltech,AkelTech,akeltech.png,,
bellboy,Bellboy,bellboy.png,,
biotwin,BioTwin,biotwin.png,,
capquest,CapQuest,capquest.png,,
defy,Defy,defy.png,,
digitech-oasis,Digitech Oasis,digitech-oasis.png,,
disrupt-x,Disrupt-X,disrupt-x.png,,
neulink,Neulink,neulink.png,,
palmear,Palmear,palmear.png,,
pharmedic,Pharmedic,pharmedic.png,,
professional-me,Professional.me,professional-me.png,,
qode,Qode,qode.png,,
reflowx,ReflowX,reflowx.png,,
robox,Robox,robox.png,,
slz,SLZ,slz.png,,
smartail,Smartail,smartail.png,,
synergy-quantum,Synergy Quantum,synergy-quantum.png,,
terra-grow,Terra Grow,terra-grow.png,,
third-body-dynamics,Third Body Dynamics,third-body-dynamics.png,,
toothpick,Toothpick,toothpick.png,,
