time,duration,type,title,judge_1,judge_2,judge_3
16:00,60 min,Networking,Doors open · Welcome reception,,,
17:00,10 min,Program,Opening remarks,,,
17:15,15 min,Keynote,Keynote: The decade ahead for innovation in the UAE,,,
17:30,50 min,Pitch block 01,Pitches · 5 startups,Judge Name,Judge Name,Judge Name
18:20,15 min,Break,Interlude · Refreshments,,,
18:35,50 min,Pitch block 02,Pitches · 5 startups,Judge Name,Judge Name,Judge Name
19:25,20 min,Panel,Panel: Building defensible businesses from the UAE,,,
19:45,50 min,Pitch block 03,Pitches · 5 startups,Judge Name,Judge Name,Judge Name
20:35,50 min,Pitch block 04,Pitches · 5 startups,Judge Name,Judge Name,Judge Name
21:25,15 min,Program,Closing remarks & cohort photo,,,
21:40,80 min,Networking,Founder reception · Lakefront Terrace,,,
