startup_id,startup_name,member_name,role,linkedin_url,photo_filename
akeltech,AkelTech,Abdel Jawhar,Co-Founder & CEO,,abdel-jawhar.png
akeltech,AkelTech,Hadi Boustani,Co-Founder & CTO,,hadi-boustani.png
akeltech,AkelTech,Omar Zanhour,Co-Founder,,omar-zanhour.png
bellboy,Bellboy,Bhuvan Batra,Co-Founder,,bhuvan-batra.png
bellboy,Bellboy,Harsh Ajmera,Co-Founder & CTO,,harsh-ajmera.png
bellboy,Bellboy,Faheem Naser,Co-Founder & CPO,,faheem-naser.png
biotwin,BioTwin,Louis-Philippe Noël,Co-Founder & CEO,,louis-philippe-noel.png
capquest,CapQuest,Marco Banfi,Co-Founder,,marco-banfi.png
capquest,CapQuest,Antoine Bruna,Co-Founder,,antoine-bruna.png
capquest,CapQuest,Anvita Varshney,Co-Founder,,anvita-varshney.png
defy,Defy,Suat Ozkan,Co-Founder,,suat-ozkan.png
defy,Defy,Hasret Ozkan,Co-Founder,,hasret-ozkan.png
digitech-oasis,Digitech Oasis,Ayaan Ali,Co-Founder,,ayaan-ali.png
disrupt-x,Disrupt-X,Asim Sajwani,Co-Founder & CEO,,asim-sajwani.png
neulink,Neulink,Mahmoud Suliman,Co-Founder & CEO,,mahmoud-suliman.png
neulink,Neulink,Sreecharan Malee,Co-Founder & CTO,,sreecharan-malee.png
palmear,Palmear,Zeid Sinokrot,Co-Founder,,zeid-sinokrot.png
palmear,Palmear,Bashar Ahmad,Co-Founder & CTO,,bashar-ahmad.png
palmear,Palmear,Gabriella Hanna,Business Development,,gabriella-hanna.png
pharmedic,Pharmedic,Mahra Al Hosani,Co-Founder & CEO,,mahra-al-hosani.png
professional-me,Professional.me,Ryan Adams,Founder & CEO,,ryan-adams.png
professional-me,Professional.me,Megan Adams,Co-Founder,,megan-adams.png
qode,Qode,Ahmed Alqubaisi,Co-Founder & CEO,,ahmed-alqubaisi.png
qode,Qode,Zaka Jibran,CDO,,zaka-jibran.png
reflowx,ReflowX,Jamie Poole,Co-Founder & CEO,,jamie-poole.png
reflowx,ReflowX,Dan Poole,Co-Founder,,dan-poole.png
reflowx,ReflowX,Chirag Parmar,Co-Founder,,chirag-parmar.png
robox,Robox,Billel Boudouma,Co-Founder & CEO,,billel-boudouma.png
robox,Robox,Mohamed Ali,Co-Founder & CCO,,mohamed-ali.png
robox,Robox,Zoubir Ameur,Co-Founder & CTO,,zoubir-ameur.png
slz,SLZ,Yumi Lee,Co-Founder & CEO,,yumi-lee.png
slz,SLZ,Jaeheon Jung,Co-Founder & CEO,,jaeheon-jung.png
smartail,Smartail,Aslam Sherieff,Co-Founder & CEO,,aslam-sherieff.png
smartail,Smartail,Swaminathan Ganesan,Co-Founder & CEO,,swaminathan-ganesan.png
smartail,Smartail,Kannan Ganesan,Co-Founder & CTO,,kannan-ganesan.png
synergy-quantum,Synergy Quantum,Jay Oberai,Co-Founder & CEO,,jay-oberai.png
synergy-quantum,Synergy Quantum,Vipin Rathi,Co-Founder & CTO,,vipin-rathi.png
terra-grow,Terra Grow,Mohammed Raiyan,Co-Founder,,mohammed-raiyan.png
terra-grow,Terra Grow,Marvin Recto,Co-Founder,,marvin-recto.png
third-body-dynamics,Third Body Dynamics,Alnawazkhan Ayubkhan,Co-Founder,,alnawazkhan-ayubkhan.png
toothpick,Toothpick,Sary Azakir,Co-Founder,,sary-azakir.png
toothpick,Toothpick,Wael Bizri,Co-Founder,,wael-bizri.png
