id,name,logo_filename,calendly_url,linkedin_url
akeltech,AkelTech,akeltech.png,,https://www.linkedin.com/company/akeltech/
bellboy,Bellboy,bellboy.png,,https://www.linkedin.com/company/bellboytech/ 
biotwin,BioTwin,biotwin.png,,https://www.linkedin.com/company/biotwinsolutions/ 
capquest,CapQuest,capquest.png,,https://www.linkedin.com/company/capquest-io/ 
defy,Defy,defy.png,,https://www.linkedin.com/company/getdefy/ 
digitech-oasis,Digitech Oasis,digitech-oasis.png,,https://www.linkedin.com/company/digitech-oasis/ 
disrupt-x,Disrupt-X,disrupt-x.png,,https://www.linkedin.com/company/disruptxiot/ 
neulink,Neulink,neulink.png,,https://www.linkedin.com/company/neulink/ 
palmear,Palmear,palmear.png,,https://www.linkedin.com/company/palmear/ 
pharmedic,Pharmedic,pharmedic.png,,https://www.linkedin.com/company/pharmedic-ae/ 
professional-me,Professional.me,professional-me.png,,https://www.linkedin.com/company/meetprofessionalme/ 
qode,Qode,qode.png,,https://www.linkedin.com/company/qodehq/ 
reflowx,ReflowX,reflowx.png,,https://www.linkedin.com/company/reflowx/ 
robox,Robox,robox.png,,
slz,SLZ,slz.png,,https://www.linkedin.com/company/slz-inc/ 
smartail,Smartail,smartail.png,,https://www.linkedin.com/company/smartail/ 
synergy-quantum,Synergy Quantum,synergy-quantum.png,,https://www.linkedin.com/company/synergyquantum/ 
terra-grow,Terra Grow,terra-grow.png,,https://www.linkedin.com/company/terragrow/ 
third-body-dynamics,Third Body Dynamics,third-body-dynamics.png,,https://www.linkedin.com/company/third-body-dynamics/ 
toothpick,Toothpick,toothpick.png,,https://www.linkedin.com/company/toothpickapp/ 
