startup_id,startup_name,member_name,role,linkedin_url,photo_filename
akeltech,AkelTech,Abdel Jawhar,Co-Founder & CEO,https://www.linkedin.com/in/abed-jawhar/,abdel-jawhar.png
akeltech,AkelTech,Hadi Boustani,Co-Founder & CTO,https://www.linkedin.com/in/hadi-boustani-9708a2b1/?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BebT5xb91TB%2B70xDl%2BGPxrw%3D%3D,hadi-boustani.png
akeltech,AkelTech,Omar Zanhour,Co-Founder,https://www.linkedin.com/in/omarzanhour/?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BdbcqR437RKWl9Hi6%2FixfUw%3D%3D,omar-zanhour.png
bellboy,Bellboy,Bhuvan Batra,Co-Founder,https://www.linkedin.com/in/bhuvanbatra/,bhuvan-batra.png
bellboy,Bellboy,Harsh Ajmera,Co-Founder & CTO,linkedin.com/in/ajmerah,harsh-ajmera.png
bellboy,Bellboy,Faheem Naser,Co-Founder & CPO,linkedin.com/in/faheemnaser,faheem-naser.png
biotwin,BioTwin,Louis-Philippe Noël,Co-Founder & CEO,https://www.linkedin.com/in/lpnoel/,louis-philippe-noel.png
capquest,CapQuest,Marco Banfi,Co-Founder,linkedin.com/in/marco-banfi-74969a4b,marco-banfi.png
capquest,CapQuest,Antoine Bruna,Co-Founder,linkedin.com/in/antoine-bruna-719562b2,antoine-bruna.png
capquest,CapQuest,Anvita Varshney,Co-Founder,https://www.linkedin.com/in/anvita-varshney/,anvita-varshney.png
defy,Defy,Suat Ozkan,Co-Founder,https://www.linkedin.com/in/suat-ozkan/,suat-ozkan.png
defy,Defy,Hasret Ozkan,Co-Founder,https://www.linkedin.com/in/hasretozkan/?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B%2BJPLtVpBT1io7CF8WFabqQ%3D%3D,hasret-ozkan.png
digitech-oasis,Digitech Oasis,Ayaan Ali,Co-Founder,https://www.linkedin.com/in/ayaan-mohamed-ali-834067149/,ayaan-ali.png
disrupt-x,Disrupt-X,Asim Sajwani,Co-Founder & CEO,https://www.linkedin.com/in/asim-sajwani-a791b417b/,asim-sajwani.png
neulink,Neulink,Mahmoud Suliman,Co-Founder & CEO,https://www.linkedin.com/in/mahmoudarsuliman/,mahmoud-suliman.png
neulink,Neulink,Sreecharan Malee,Co-Founder & CTO,https://www.linkedin.com/in/sr-charan/?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3Be2L0GODySVS6k8cCh4EvjQ%3D%3D,sreecharan-malee.png
palmear,Palmear,Zeid Sinokrot,Co-Founder,https://www.linkedin.com/in/zeid-sinokrot/,zeid-sinokrot.png
palmear,Palmear,Bashar Ahmad,Co-Founder & CTO,linkedin.com/in/abashar,bashar-ahmad.png
palmear,Palmear,Gabriella Hanna,Business Development,linkedin.com/in/gabriella-hanna-580a001b0,gabriella-hanna.png
pharmedic,Pharmedic,Mahra Al Hosani,Co-Founder & CEO,https://www.linkedin.com/in/mahra-al-hosani-612a52289/,mahra-al-hosani.png
professional-me,Professional.me,Ryan Adams,Founder & CEO,https://www.linkedin.com/in/ryan-k-adams/?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B64rXQQXLQpWynF1zdI12Rw%3D%3D,ryan-adams.png
professional-me,Professional.me,Megan Adams,Co-Founder,linkedin.com/in/meganbadams,megan-adams.png
qode,Qode,Ahmed Alqubaisi,Co-Founder & CEO,https://www.linkedin.com/in/ahmed-eisa-al-qubaisi/,ahmed-alqubaisi.png
qode,Qode,Zaka Jibran,CDO,https://www.linkedin.com/in/zaka-jibran/?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B4m6HNmqBQsKFK7gsTprYhg%3D%3D,zaka-jibran.png
reflowx,ReflowX,Jamie Poole,Co-Founder & CEO,https://www.linkedin.com/in/jamie-poole-b6a981197/,jamie-poole.png
reflowx,ReflowX,Dan Poole,Co-Founder,https://www.linkedin.com/in/dan-poole-mba-msc-65612049/?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B%2Bz4cK%2FcvR%2Fy%2FpbOmQK6sDQ%3D%3D,dan-poole.png
reflowx,ReflowX,Chirag Parmar,Co-Founder,linkedin.com/in/chirag2411,chirag-parmar.png
robox,Robox,Billel Boudouma,Co-Founder & CEO,https://www.linkedin.com/in/billel-abdelbasset-boudouma-a5548028/,billel-boudouma.png
robox,Robox,Mohamed Ali,Co-Founder & CCO,linkedin.com/in/mohamed-a-a-372919a4,mohamed-ali.png
robox,Robox,Zoubir Ameur,Co-Founder & CTO,https://www.linkedin.com/in/yumi-lee-5090973/,zoubir-ameur.png
slz,SLZ,Yumi Lee,Co-Founder & CEO,https://www.linkedin.com/in/yumi-lee-5090973/,yumi-lee.png
slz,SLZ,Jaeheon Jung,Co-Founder & CEO,https://www.linkedin.com/in/jaeheon-jung-27901563/?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BNnJ2GX3vTt29dUcrTMY33A%3D%3D,jaeheon-jung.png
smartail,Smartail,Aslam Sherieff,Co-Founder & CEO,https://www.linkedin.com/in/aslam-sherieff/,aslam-sherieff.png
smartail,Smartail,Swaminathan Ganesan,Co-Founder & CEO,https://www.linkedin.com/in/swaming/?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B%2Bq5JIZOwQzaP%2FIxKQfg4hg%3D%3D,swaminathan-ganesan.png
smartail,Smartail,Kannan Ganesan,Co-Founder & CTO,https://www.linkedin.com/in/kannan-ganesan-7b239b38/?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BnBfaKUjiRH2SZZbXM2wlEA%3D%3D,kannan-ganesan.png
synergy-quantum,Synergy Quantum,Jay Oberai,Co-Founder & CEO,https://www.linkedin.com/in/jay-oberai-a399641/?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BfcZUrGukS0u18RU0lV7Q6g%3D%3D,jay-oberai.png
synergy-quantum,Synergy Quantum,Vipin Rathi,Co-Founder & CTO,https://www.linkedin.com/in/vipratos/?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3Bu%2Fd%2Fc9b9QqKigxADl3afeA%3D%3D,vipin-rathi.png
terra-grow,Terra Grow,Mohammed Raiyan,Co-Founder,https://www.linkedin.com/in/dr-mohammed-raiyan-5b825852/,mohammed-raiyan.png
terra-grow,Terra Grow,Marvin Recto,Co-Founder,linkedin.com/in/marvindrecto,marvin-recto.png
third-body-dynamics,Third Body Dynamics,Alnawazkhan Ayubkhan,Co-Founder,https://www.linkedin.com/in/alnawazkhana/,alnawazkhan-ayubkhan.png
toothpick,Toothpick,Sary Azakir,Co-Founder,linkedin.com/in/wael-bizri-06b238b5,sary-azakir.png
toothpick,Toothpick,Wael Bizri,Co-Founder,linkedin.com/in/wael-bizri-06b238b5,wael-bizri.png
